X,Y,OBJECTID,ID,NAME,ADDRESS,TELEPHONE,WEB_URL,GIS_ID,MAR_ID,XCOORD,YCOORD,LATITUDE,LONGITUDE,ZIPCODE,CREATOR,CREATED,EDITOR,EDITED
-77.0383852405217,38.9847958653935,1,29,Lowell School,1640 KALMIA ROAD NW,202-577-2000,https://www.lowellschool.org,IndSchPt_39,302442,396672.58,146320.89,38.98481235,-77.0384048,20012,,,,
-77.0751378330378,38.9679082407907,2,14,Blessed Sacrament School,5841 CHEVY CHASE PARKWAY NW,202-966-6682,https://www.bsstoday.org,IndSchPt_31,274472,393460.12,144442.79,38.96787595,-77.07546481,20015,,,,
-77.0094371774408,38.966211209929,3,40,Roots Activity Learning Center,6222 NORTH CAPITOL STREET NW,202-882-5155,https://www.rootsactivitylc.org/,IndSchPt_21,277484,399182.01,144257.74,38.96623295,-77.00943871,20011,,,,
-77.0274226274707,38.9643824117658,4,15,Bridges Academy,6119 GEORGIA AVENUE NW,202-829-1901,https://www.bridgesacademydc.org/,IndSchPt_1,295158,397619.12,144051.91,38.96437593,-77.02747204,20011,,,,
-77.035945511955,38.9640732451322,5,4,Milton Gottesman Jewish Day School North Campus,6045 16TH STREET NW,202-291-5737,https://www.jpds.org/,IndSchPt_47,256159,396883.1,144017.12,38.96406023,-77.03596452,20011,,,,
-77.0549716464002,38.9624798548136,6,46,St. John's College High School,2607 MILITARY ROAD NW,202-363-2316,https://www.stjohns-chs.org,IndSchPt_25,259840,395215.5,143835.6,38.96241755,-77.05520495,20015,,,,
-77.0340910999425,38.9509917479926,7,27,Kingsbury Day School,5000 14TH STREET NW,202-722-5555,https://www.kingsbury.org/ ,IndSchPt_4,255780,397047.31,142564.4,38.95097432,-77.03406352,20008,,,,
-77.036769946801,38.9499933956314,8,38,Parkmont School,4842 16TH STREET NW,202-726-0740,https://www.parkmont.org,IndSchPt_7,258748,396811.4,142452.94,38.94996943,-77.03678456,20011,,,,
-77.0824491243484,38.9482254606359,9,39,St. Columbia's Epicopal Church Nursery School,4201 ALBEMARLE STREET NW,202-363-4119,https://www.columba.org/learn-grow/nursery-school,IndSchPt_54,301545,392853.08,142261.1,38.948218,-77.082447,20016,,,,
-77.0360284534696,38.9480556214859,10,8,Milton Gottesman Jewish Day School South Campus,4715 16TH STREET NW,202-291-5737,https://www.jpds.org/,IndSchPt_48,255699,396875.21,142239.02,38.94804261,-77.03604746,20011,,,,
-77.0705223964044,38.9467739221614,11,49,Sheridan School,4400 36TH STREET NW,202-362-7900,https://www.sheridanschool.org,IndSchPt_8,221854,393887.11,142101.06,38.94678412,-77.07051683,20008,,,,
-76.9847811113892,38.945775413077,12,6,St. Anselm's Abbey School,4501 SOUTH DAKOTA AVENUE NE,202-269-2350,https://www.saintanselms.org/ ,IndSchPt_14,288238,401339.81,142177.91,38.94749665,-76.98454412,20017,,,,
-77.0809797521502,38.9417794268545,13,32,National Presbyterian School,4121 NEBRASKA AVENUE NW,202-537-7500,https://www.nps-dc.org,IndSchPt_41,301072,392930.02,141515.57,38.94150268,-77.08155155,20016,,,,
-77.0637866316054,38.941244900672,14,26,Fusion Academy,3007 TILDEN STREET NW,202-244-0639,https://www.fusionacademy.com/fusion-campus-location/washington-dc/welcome,IndSchPt_51,294550,394470.3,141484.9,38.94123744,-77.06378433,20008,,,,
-77.0065182157447,38.940867200203,15,1,Archbishop Carroll High,4300 HAREWOOD ROAD NE,202-529-0900,https://www.archbishopcarroll.org/,IndSchPt_29,290010,399454.23,141441.84,38.94086644,-77.00629535,20017,,,,
-77.0739877170796,38.9393723067851,16,50,Sidwell Friends School,3825 WISCONSIN AVENUE NW,202-537-8100,https://www.sidwell.edu,IndSchPt_9,293241,393586.23,141276.61,38.9393551,-77.07398,20016,,,,
-77.0640558577346,38.9359070214555,17,10,National Child Research Center,3209 HIGHLAND PLACE NW,202-363-8777,https://www.ncrcpreschool.org/,IndSchPt_50,221029,394446.66,140891.95,38.93589582,-77.06405221,20008 ,,,,
-77.0611242264557,38.9324776160559,18,52,Washington International School Tregaron Campus,3100 MACOMB STREET NW,202-243-1800,https://www.wis.edu,IndSchPt_10,300693,394645.2,140530.02,38.93263668,-77.06175943,20008,,,,
-77.03766909807,38.9323150203462,19,41,Sacred Heart School,1625 PARK ROAD NW,202-265-4828,https://sacredheartschooldc.org ,IndSchPt_24,284056,396737.06,140499.52,38.93237219,-77.03763288,20010,,,,
-77.072139653643,38.9314316508659,20,31,National Cathedral School,3612 WOODLEY ROAD NW,202-537-6300,https://www.ncs.cathedral.org,IndSchPt_40,308567,393745.33,140396.02,38.93142363,-77.07213683,20016,,,,
-77.075819651746,38.9301565369916,21,12,Annunciation School,3810 MASSACHUSETTS AVENUE NW,202-362-1408,https://www.annunciationschool.net/ ,IndSchPt_16,263608,393426.08,140254.79,38.93014905,-77.07581747,20016,,,,
-77.0678710114217,38.9301329751082,22,13,Beauvoir,3500 WOODLEY ROAD NW,202-537-6485,https://www.beauvoirschool.org/,IndSchPt_30,300818,394115.17,140251.87,38.93012763,-77.06787013,20016,,,,
-77.0718491257072,38.9284284310667,23,42,St. Albans School,Mount St. Alban,202-537-6435,https://www.stalbansschool.org,IndSchPt_19,302446,393770.87,140062.49,38.92841927,-77.07183924,20016,,,,
-77.0605708695792,38.9282222694399,24,30,Maret School,3000 CATHEDRAL AVENUE NW,202-939-8800,https://www.maret.org,IndSchPt_5,220176,394748.26,140042.15,38.92824242,-77.06056706,20008,,,,
-77.0556136001684,38.9261905295017,25,11,Aidan Montessori School,2700 27TH STREET NW,202-387-2700,https://www.aidanschool.org ,IndSchPt_17,220050,395177.92,139815.5,38.92620315,-77.0556103,20008,,,,
-77.0884633292489,38.9211966032451,26,19,The Field School,2301 FOXHALL ROAD NW,202-295-5800,https://www.fieldschool.org/page,IndSchPt_34,274612,392329.86,139261.11,38.92118879,-77.08844914,20007,,,,
-77.0333199454642,38.9183886781729,27,44,St. Augustine School,1421 V STREET NW,202-667-2608,https://www.staug-dc.org/ ,IndSchPt_20,295123,397104.69,138942.82,38.91835023,-77.03338628,20009,,,,
-77.067692353961,38.9168808341033,28,16,British International School of Washington ,2001 WISCONSIN AVENUE NW,202-829-3700 ,https://www.nordangliaeducation.com/our-schools/washington,IndSchPt_44,224666,394091.84,138758.92,38.91667851,-77.06812634,20011 ,,,,
-77.0913628789364,38.9160952767058,29,48,St. Patrick's Episcopal Day School,4700 WHITEHAVEN PARKWAY NW,202-342-2805,https://www.stpatsdc.org,IndSchPt_28,224448,392074.86,138695.11,38.91608781,-77.09138317,20007,,,,
-77.0945035103883,38.915972103146,30,36,Our Lady of Victory School,4755 WHITEHAVEN PARKWAY NW,202-337-1421,https://www.olvschooldc.net,IndSchPt_42,301551,391807.69,138686.13,38.91600447,-77.09446374,20007,,,,
-77.0924963817777,38.9154654947569,31,28,The Lab School of Washington,4759 RESERVOIR ROAD NW,202-965-6600,https://www.labschool.org,IndSchPt_38,275591,391982.02,138626.45,38.91546846,-77.09245288,20007,,,,
-77.0284924839045,38.9149365023152,32,18,Emerson Preparatory School,1816 12TH STREET NW,202-785-2877,https://www.emersonprep.org,IndSchPt_33,279410,397529.17,138562.9,38.91492908,-77.02849017,20036,,,,
-77.0714990052206,38.9130892902924,33,3,Washington International School Primary Campus,1690 36TH STREET NW,202-243-1700,https://www.wis.edu,IndSchPt_46,300744,393799.71,138359.41,38.91307758,-77.07149125,20007,,,,
-77.0693221531823,38.9092124376203,34,22,Georgetown Visitation Preparatory School,1524 35TH STREET NW,202-337-3350,https://www.visi.org,IndSchPt_36,301498,393980.48,137960.13,38.90948199,-77.06940342,20007,,,,
-77.0863027912202,38.907641269593,35,21,Georgetown Day School Lower/Middle School,4530 MACARTHUR BOULEVARD NW,202-295-6200,https://www.gds.org,IndSchPt_18,275307,392498.57,137771.15,38.90776819,-77.08648736,20007,,,,
-77.070479996211,38.9074594768017,36,25,Holy Trinity School,1325 36TH STREET NW,202-337-2339,https://www.htsdc.org/,IndSchPt_3,295119,393932.64,137733.52,38.90744028,-77.069953,20007,,,,
-77.0142044441634,38.9049229782925,37,24,Holy Redeemer School,1135 NEW JERSEY AVENUE NW,202-638-5789,https://www.holyredeemerdc.org/ ,IndSchPt_2,305813,398764.37,137449.29,38.90489991,-77.01424556,20001,,,,
-77.0108890436407,38.9016198174529,38,23,Gonzaga College High School,19 I STREET NW,202-336-7100,https://www.gonzaga.org,IndSchPt_37,279445,399162.07,137078.12,38.90155675,-77.00966003,20001,,,,
-76.9290894560094,38.8966466468182,39,5,The Monroe School,601 50TH STREET NE,202-399-8353,https://monroeschool.net/m/,IndSchPt_13,289784,406151.54,136534.58,38.89663922,-76.92908719,20019,,,,
-76.9134619524086,38.8942899032866,40,33,Nation House School,6101 DIX STREET NE,202-291-5600,https://www.nationhouse.org ,IndSchPt_6,151064,407507.45,136274.13,38.89428246,-76.91345959,20019,,,,
-77.001565339631,38.8834725434123,41,64,St. Peter's Interparish School,422 3RD STREET SE,202-544-1618,https://www.stpeterschooldc.org/,IndSchPt_22,25180,399845.96,135068.13,38.8834504,-77.00177539,20003,,,,
-76.9478425152248,38.8830771245709,42,62,"Cornerstone Schools of Washington, D.C., Inc.",3742 ELY PLACE SE,202-582-8600,https://www.cornerstone-schools.org,IndSchPt_12,310211,404525.58,135027.13,38.88306942,-76.94784062,20019,,,,
-77.003181143253,38.8823089962302,43,54,Capitol Hill Day School,210 SOUTH CAROLINA AVENUE SE,202-547-2244,https://www.chds.org,IndSchPt_27,51864,399723.55,134940.65,38.88230198,-77.00318618,20003,,,,
-76.9685960703791,38.873149143854,44,63,St. Francis Xavier School,2700 O STREET SE,202-581-2010,https://www.catholicacademies.org/schools/st-francis-xavier-academy,IndSchPt_26,45401,402724.43,133929.28,38.87318698,-76.96860405,20020,,,,
-76.9480427550084,38.8696754905715,45,57,Dupont Park Adventist School,3942 ALABAMA AVENUE SE,202-583-8500,https://dupont22.adventistschoolconnect.org/ ,IndSchPt_11,278452,404514.03,133516.51,38.86946122,-76.94798366,20020,,,,
-76.9768496790411,38.8433703701671,46,34,Bishop John T. Walker School for Boys,1801 MISSISSIPPI AVENUE SE,202-678-1515,https://www.bishopwalkerschool.org/,IndSchPt_52,313139,402009.94,130618.38,38.843363,-76.976847,20032,,,,
-76.9999572855938,38.8250414212427,47,65,St. Thomas More Catholic School,4265 4TH STREET SE,202-561-1189,https://stmraiders.org/,IndSchPt_23,303721,399983.89,128625.32,38.82541082,-77.00018553,20032,,,,
-77.0825726944845,38.9518076510217,48,20,Georgetown Day School High School,4200 DAVENPORT STREET NW,202-274-3200,https://www.gds.org,IndSchPt_35,266095,392840.26,142659.85,38.95180994,-77.08259887,20016,,,,
-77.0614268260936,38.942353274748,49,17,Edmund Burke School,4101 CONNECTICUT AVENUE NW,202-362-8882,https://www.burkeschool.org/page,IndSchPt_32,302397,394621.92,141600.04,38.9422756,-77.06203631,20008,,,,
-76.9913771760826,38.9318613587192,50,7,St. Anthony's School,3400 12TH STREET NE,202-526-4657,https://www.stanthonyschooldc.org/,IndSchPt_15,289591,400747.98,140441.31,38.93185356,-76.99137329,20017,,,,
-77.0980053162944,38.9177420053517,51,9,The RIver School,4880 MACARTHUR BOULEVARD NW,202-337-3554,https://www.riverschool.net,IndSchPt_49,285007,391500.34,138875.43,38.91770683,-77.09801007,20007,,,,
-77.0657084498152,38.9109274178516,52,35,Little Folks School,3247 Q STREET NW,202-333-6571,https://www.littlefolks.org/,IndSchPt_53,305086,394301.26,138119.52,38.91092,-77.065706,20007,,,,
-77.0446907375727,38.8981281888701,53,37,The Owl School,1920 G STREET NW,202-828-1001,https://www.owlschoolchildcaredcmdva.com,IndSchPt_43,293216,396123.45,136697.6,38.89812074,-77.04468844,20006,,,,
-76.9753212868982,38.8435655944324,54,2,Washington School for Girls,1901 MISSISSIPPI AVENUE SE,202-678-1113,https://www.washingtonschoolforgirls.org/,IndSchPt_45,295845,402142.37,130640.01,38.84355746,-76.97532187,20020,,,,
